
                             %_LE:LE12 PI: PART                   
                             %-1-1 E: 1 Centroi  _S:S12 PI: PART-1
                 % X                  d           -1 E: 1 Centroid

                8.30001           12.4026E-03       145.046      
                8.35              12.4807E-03       145.051      
                8.4               12.5589E-03       145.057      
                8.45              12.6369E-03       145.062      
                8.5               12.715E-03        145.067      
                8.55              12.7932E-03       145.073      
                8.60001           12.8714E-03       145.078      
                8.65001           12.9494E-03       145.083      
                8.70001           13.0276E-03       145.089      
                8.75              13.1057E-03       145.094      
                8.8               13.1837E-03       145.099      
                8.85              13.2619E-03       145.105      
                8.9               13.34E-03         145.11       
                8.95              13.4181E-03       145.115      
                9.00001           13.4962E-03       145.121      
                9.05001           13.5743E-03       145.126      
                9.10001           13.6525E-03       145.131      
                9.15              13.7306E-03       145.137      
                9.2               13.8088E-03       145.142      
                9.25              13.8869E-03       145.147      
                9.3               13.965E-03        145.153      
                9.35              14.043E-03        145.158      
                9.40001           14.1211E-03       145.163      
                9.45001           14.1993E-03       145.169      
                9.50001           14.2774E-03       145.174      
                9.55001           14.3556E-03       145.179      
                9.6               14.4337E-03       145.185      
                9.65              14.5117E-03       145.19       
                9.7               14.5899E-03       145.195      
                9.75              14.668E-03        145.201      
                9.8               14.7462E-03       145.206      
                9.85001           14.8242E-03       145.211      
                9.90001           14.9023E-03       145.217      
                9.95001           14.9805E-03       145.222      
               10.                15.0586E-03       145.227      
               10.05              15.1367E-03       145.233      
               10.1               15.2148E-03       145.238      
               10.15              15.2929E-03       145.243      
               10.2               15.371E-03        145.248      
               10.25              15.4491E-03       145.253      
               10.3               15.5273E-03       145.258      
               10.35              15.6054E-03       145.263      
               10.4               15.6835E-03       145.268      
               10.45              15.7616E-03       145.274      
               10.5               15.8398E-03       145.279      
               10.55              15.9179E-03       145.284      
               10.6               15.996E-03        145.289      
               10.65              16.0741E-03       145.294      
               10.7               16.1523E-03       145.299      
               10.75              16.2303E-03       145.304      
               10.8               16.3084E-03       145.309      
               10.85              16.3865E-03       145.314      
               10.9               16.4647E-03       145.319      
               10.95              16.5428E-03       145.324      
               11.                16.6209E-03       145.329      
               11.05              16.699E-03        145.334      
               11.1               16.777E-03        145.339      
               11.15              16.8552E-03       145.345      
               11.2               16.9334E-03       145.35       
               11.25              17.0115E-03       145.355      
               11.3               17.0895E-03       145.36       
               11.35              17.1677E-03       145.365      
               11.4               17.2458E-03       145.37       
               11.45              17.3239E-03       145.375      
               11.5               17.402E-03        145.38       
               11.55              17.4801E-03       145.385      
               11.6               17.5582E-03       145.39       
               11.65              17.6364E-03       145.395      
               11.7               17.7145E-03       145.4        
               11.75              17.7926E-03       145.405      
               11.8               17.8707E-03       145.411      
               11.85              17.9489E-03       145.416      
               11.9               18.0269E-03       145.421      
               11.95              18.105E-03        145.426      
               12.                18.1831E-03       145.431      
               12.05              18.2613E-03       145.436      
               12.1               18.3394E-03       145.441      
               12.15              18.4174E-03       145.446      
               12.2               18.4957E-03       145.451      
               12.25              18.5738E-03       145.456      
               12.3               18.6518E-03       145.461      
               12.35              18.73E-03         145.466      
               12.4               18.808E-03        145.471      
               12.45              18.8862E-03       145.477      
               12.5               18.9643E-03       145.482      
               12.55              19.0424E-03       145.487      
               12.6               19.1204E-03       145.492      
               12.65              19.1986E-03       145.497      
               12.7               19.2767E-03       145.502      
               12.75              19.3548E-03       145.507      
               12.8               19.4329E-03       145.512      
               12.85              19.5111E-03       145.517      
               12.9               19.5892E-03       145.522      
               12.95              19.6672E-03       145.527      
               13.                19.7454E-03       145.532      
               13.05              19.8235E-03       145.537      
               13.1               19.9015E-03       145.542      
               13.15              19.9797E-03       145.548      
               13.2               20.0578E-03       145.553      
               13.25              20.1359E-03       145.558      
               13.3               20.2141E-03       145.563      
               13.35              20.2921E-03       145.568      
               13.4               20.3702E-03       145.573      
               13.45              20.4484E-03       145.578      
               13.5               20.5264E-03       145.583      
               13.55              20.6046E-03       145.588      
               13.6               20.6827E-03       145.593      
               13.65              20.7608E-03       145.598      
               13.7               20.8389E-03       145.603      
               13.75              20.917E-03        145.608      
               13.8               20.9951E-03       145.614      
               13.85              21.0732E-03       145.619      
               13.9               21.1513E-03       145.624      
               13.95              21.2294E-03       145.629      
               14.                21.3076E-03       145.634      
               14.05              21.3856E-03       145.639      
               14.1               21.4637E-03       145.644      
               14.15              21.5419E-03       145.649      
               14.2               21.6199E-03       145.654      
               14.25              21.698E-03        145.659      
               14.3               21.7762E-03       145.664      
               14.35              21.8543E-03       145.669      
               14.4               21.9324E-03       145.674      
               14.45              22.0105E-03       145.679      
               14.5               22.0886E-03       145.685      
               14.55              22.1667E-03       145.69       
               14.6               22.2448E-03       145.695      
               14.65              22.3229E-03       145.7        
               14.7               22.4011E-03       145.705      
               14.75              22.4792E-03       145.71       
