
                     X                   AVERAGE_SDV2     

                   0.                     100.000008E-03  
                   1.00003564               1.49775302E-03
                   2.00002122               1.4955132E-03 
                   3.00000691               1.49328005E-03
                   4.00004244               1.4910537E-03 
                   5.00002766               1.48883379E-03
                   6.00001335               1.48662066E-03
                   7.00004864               1.48441362E-03
                   8.00003433               1.48221338E-03
                   9.00001907               1.48001969E-03
                  10.0000048                1.47783244E-03
                  11.0000401                1.47565162E-03
                  12.0000257                1.47347736E-03
                  13.0000105                1.47130966E-03
                  14.0000458                1.46914804E-03
                  15.0000305                1.46699238E-03
                  16.0000153                1.46484363E-03
                  17.0000019                1.46270084E-03
                  18.0000362                1.46056461E-03
                  19.000021                 1.45843458E-03
                  20.0000057                1.45631087E-03
                  21.0000401                1.45419288E-03
                  22.0000267                1.45208097E-03
                  23.0000114                1.44997597E-03
                  24.0000458                1.44787621E-03
                  25.0000305                1.44578314E-03
                  26.0000153                1.44369555E-03
                  27.0000496                1.44161463E-03
                  28.0000343                1.43953919E-03
                  29.0000191                1.4374702E-03 
                  30.0000038                1.43540692E-03
                  31.0000381                1.43334925E-03
                  32.0000229                1.43129766E-03
                  33.0000076                1.42925227E-03
                  34.000042                 1.42721188E-03
                  35.0000267                1.42517829E-03
                  36.0000114                1.42315006E-03
                  37.0000458                1.42112732E-03
                  38.0000305                1.41911042E-03
                  39.0000153                1.4170996E-03 
                  40.0000496                1.41509449E-03
                  41.0000343                1.41309464E-03
                  42.0000191                1.41110075E-03
                  43.                       1.40911233E-03
                  44.0000343                1.40712953E-03
                  45.0000191                1.40515232E-03
                  46.0000038                1.40318072E-03
                  47.0000381                1.40121412E-03
                  48.0000229                1.39925373E-03
                  49.0000076                1.39729857E-03
                  50.000042                 1.39534867E-03
                  51.0000267                1.3934046E-03 
                  52.0000076                1.3914659E-03 
                  53.000042                 1.38953233E-03
                  54.0000267                1.387604E-03  
                  55.0000114                1.38568139E-03
                  56.0000458                1.38376391E-03
                  57.0000305                1.38185167E-03
                  58.0000114                1.37994456E-03
                  59.0000458                1.37804306E-03
                  60.0000305                1.37614667E-03
                  61.0000153                1.37425578E-03
                  62.0000496                1.37236953E-03
                  63.0000305                1.37048876E-03
                  64.0000153                1.36861312E-03
                  65.0000534                1.36674273E-03
                  66.0000305                1.36487722E-03
                  67.0000153                1.36301672E-03
                  68.                       1.36116159E-03
                  69.0000381                1.35931134E-03
                  70.0000153                1.3574661E-03 
                  71.                       1.35562575E-03
                  72.0000381                1.35379028E-03
                  73.0000229                1.35196006E-03
                  74.                       1.35013533E-03
                  75.0000381                1.34831464E-03
                  76.0000229                1.3464992E-03 
                  77.                       1.34468842E-03
                  78.0000381                1.34288251E-03
                  79.0000229                1.3410821E-03 
                  80.0000076                1.33928573E-03
                  81.0000381                1.33749425E-03
                  82.0000229                1.3357079E-03 
                  83.0000076                1.33392632E-03
                  84.0000381                1.33214903E-03
                  85.0000229                1.3303771E-03 
                  86.0000076                1.32860923E-03
                  87.0000381                1.3268466E-03 
                  88.0000229                1.32508838E-03
                  89.0000076                1.32333493E-03
                  90.0000381                1.32158589E-03
                  91.0000229                1.31984162E-03
                  92.0000076                1.31810188E-03
                  93.0000381                1.31636667E-03
                  94.0000229                1.31463635E-03
                  95.                       1.31291032E-03
                  96.0000381                1.3111887E-03 
                  97.0000229                1.30947185E-03
                  98.                       1.3077594E-03 
                  99.0000381                1.30605137E-03
                 100.                       1.3043611E-03 




