
                     X                   AVERAGE_SDV1     

                   0.                      20.E-09        
                   1.00003564               1.49885821E-03
                   2.00002122               2.99433756E-03
                   3.00000691               4.4872942E-03 
                   4.00004244               5.9774847E-03 
                   5.00002766               7.46760082E-03
                   6.00001335               8.95771694E-03
                   7.00004864              10.4479065E-03 
                   8.00003433              11.9380226E-03 
                   9.00001907              13.4213505E-03 
                  10.0000048               14.8928394E-03 
                  11.0000401               16.3737621E-03 
                  12.0000257               17.8638783E-03 
                  13.0000105               19.350687E-03  
                  14.0000458               20.8036232E-03 
                  15.0000305               22.2564869E-03 
                  16.0000153               23.7093487E-03 
                  17.0000019               25.1622162E-03 
                  18.0000362               26.6151466E-03 
                  19.000021                28.0680103E-03 
                  20.0000057               29.5208721E-03 
                  21.0000401               30.9738083E-03 
                  22.0000267               32.4288559E-03 
                  23.0000114               33.8444672E-03 
                  24.0000458               35.2601433E-03 
                  25.0000305               36.6757545E-03 
                  26.0000153               38.0913658E-03 
                  27.0000496               39.5070457E-03 
                  28.0000343               40.922657E-03  
                  29.0000191               42.3382683E-03 
                  30.0000038               43.7538757E-03 
                  31.0000381               45.1695595E-03 
                  32.0000229               46.5851669E-03 
                  33.0000076               48.0007782E-03 
                  34.000042                49.4164581E-03 
                  35.0000267               50.8320656E-03 
                  36.0000114               52.2476768E-03 
                  37.0000458               53.6633644E-03 
                  38.0000305               55.0789757E-03 
                  39.0000153               56.4945869E-03 
                  40.0000496               57.9102631E-03 
                  41.0000343               59.3258743E-03 
                  42.0000191               60.7414856E-03 
                  43.                      62.157093E-03  
                  44.0000343               63.5163116E-03 
                  45.0000191               64.8574142E-03 
                  46.0000038               66.1985168E-03 
                  47.0000381               67.5396881E-03 
                  48.0000229               68.8807983E-03 
                  49.0000076               70.2219009E-03 
                  50.000042                71.5630722E-03 
                  51.0000267               72.9041748E-03 
                  52.0000076               74.245285E-03  
                  53.000042                75.5864487E-03 
                  54.0000267               76.9275513E-03 
                  55.0000114               78.2686539E-03 
                  56.0000458               79.6098328E-03 
                  57.0000305               80.9509354E-03 
                  58.0000114               82.2920456E-03 
                  59.0000458               83.6332169E-03 
                  60.0000305               84.9743195E-03 
                  61.0000153               86.3154221E-03 
                  62.0000496               87.656601E-03  
                  63.0000305               88.9977036E-03 
                  64.0000153               90.3388138E-03 
                  65.0000534               91.679985E-03  
                  66.0000305               93.0210876E-03 
                  67.0000153               94.3621902E-03 
                  68.                      95.7032928E-03 
                  69.0000381               97.0444641E-03 
                  70.0000153               98.3855667E-03 
                  71.                      99.7266693E-03 
                  72.0000381              101.067841E-03  
                  73.0000229              102.408943E-03  
                  74.                     103.750053E-03  
                  75.0000381              105.091225E-03  
                  76.0000229              106.432327E-03  
                  77.                     107.77343E-03   
                  78.0000381              109.114594E-03  
                  79.0000229              110.455696E-03  
                  80.0000076              111.796806E-03  
                  81.0000381              113.137978E-03  
                  82.0000229              114.47908E-03   
                  83.0000076              115.820183E-03  
                  84.0000381              117.161377E-03  
                  85.0000229              118.50248E-03   
                  86.0000076              119.84359E-03   
                  87.0000381              121.184753E-03  
                  88.0000229              122.525856E-03  
                  89.0000076              123.866959E-03  
                  90.0000381              125.184998E-03  
                  91.0000229              126.37709E-03   
                  92.0000076              127.569183E-03  
                  93.0000381              128.761337E-03  
                  94.0000229              129.95343E-03   
                  95.                     131.145523E-03  
                  96.0000381              132.337677E-03  
                  97.0000229              133.52977E-03   
                  98.                     134.721863E-03  
                  99.0000381              135.914017E-03  
                 100.                     137.10611E-03   




