
                     X                   AVERAGE_SDV4     

                   0.                     293.            
                   1.00003564               2.14365268E+03
                   2.00002122               2.16144967E+06
                   3.00000691               4.48145008E+06
                   4.00004244               6.80156708E+06
                   5.00002766               9.12156773E+06
                   6.00001335              11.4415674E+06 
                   7.00004864              13.7616806E+06 
                   8.00003433              16.0816803E+06 
                   9.00001907              18.4016819E+06 
                  10.0000048               20.7216816E+06 
                  11.0000401               23.0417976E+06 
                  12.0000257               25.3617973E+06 
                  13.0000105               27.681797E+06  
                  14.0000458               30.0019169E+06 
                  15.0000305               32.3219147E+06 
                  16.0000153               34.6419144E+06 
                  17.0000019               36.9619141E+06 
                  18.0000362               39.282032E+06  
                  19.000021                41.6020317E+06 
                  20.0000057               43.9220314E+06 
                  21.0000401               46.2421494E+06 
                  22.0000267               48.562149E+06  
                  23.0000114               50.8821487E+06 
                  24.0000458               53.2022705E+06 
                  25.0000305               55.5222702E+06 
                  26.0000153               57.8422699E+06 
                  27.0000496               60.1623764E+06 
                  28.0000343               62.4823761E+06 
                  29.0000191               64.8023758E+06 
                  30.0000038               67.1228485E+06 
                  31.0000381               69.5229721E+06 
                  32.0000229               71.922966E+06  
                  33.0000076               74.3229675E+06 
                  34.000042                76.7230759E+06 
                  35.0000267               79.1230774E+06 
                  36.0000114               81.5230789E+06 
                  37.0000458               83.9232101E+06 
                  38.0000305               86.3232117E+06 
                  39.0000153               88.7232132E+06 
                  40.0000496               91.1233292E+06 
                  41.0000343               93.5233307E+06 
                  42.0000191               95.9233246E+06 
                  43.                      98.3233261E+06 
                  44.0000343              100.723442E+06  
                  45.0000191              103.123444E+06  
                  46.0000038              105.523445E+06  
                  47.0000381              107.923576E+06  
                  48.0000229              110.323578E+06  
                  49.0000076              112.723579E+06  
                  50.000042               115.123695E+06  
                  51.0000267              117.523697E+06  
                  52.0000076              119.923698E+06  
                  53.000042               122.323822E+06  
                  54.0000267              124.723824E+06  
                  55.0000114              127.123817E+06  
                  56.0000458              129.523926E+06  
                  57.0000305              131.92392E+06   
                  58.0000114              134.316849E+06  
                  59.0000458              136.556931E+06  
                  60.0000305              138.796936E+06  
                  61.0000153              141.036942E+06  
                  62.0000496              143.277084E+06  
                  63.0000305              145.517075E+06  
                  64.0000153              147.75708E+06   
                  65.0000534              149.997192E+06  
                  66.0000305              152.237183E+06  
                  67.0000153              154.477188E+06  
                  68.                     156.717194E+06  
                  69.0000381              158.957291E+06  
                  70.0000153              161.197296E+06  
                  71.                     163.437302E+06  
                  72.0000381              165.677429E+06  
                  73.0000229              167.917419E+06  
                  74.                     170.157425E+06  
                  75.0000381              172.397522E+06  
                  76.0000229              174.637512E+06  
                  77.                     176.877518E+06  
                  78.0000381              179.11763E+06   
                  79.0000229              181.35762E+06   
                  80.0000076              183.597626E+06  
                  81.0000381              185.837738E+06  
                  82.0000229              188.077728E+06  
                  83.0000076              190.317734E+06  
                  84.0000381              192.557846E+06  
                  85.0000229              194.797836E+06  
                  86.0000076              197.037842E+06  
                  87.0000381              199.277969E+06  
                  88.0000229              201.517975E+06  
                  89.0000076              203.757965E+06  
                  90.0000381              205.998077E+06  
                  91.0000229              208.238083E+06  
                  92.0000076              210.478073E+06  
                  93.0000381              212.718185E+06  
                  94.0000229              214.958191E+06  
                  95.                     217.198181E+06  
                  96.0000381              219.438309E+06  
                  97.0000229              221.678314E+06  
                  98.                     223.91832E+06   
                  99.0000381              226.158432E+06  
                 100.                     228.398438E+06  




